CWE,NVD_count,Avg_CVSS_V3_baseScore,Avg_CVSS_V3_exploitabilityScore,Avg_CVSS_V3_attackComplexity,Avg_CVSS_V3_privilegesRequired,Avg_CVSS_V3_userInteraction,Avg_CVSS_V3_time,Sv_cwe,CWE_score
CWE-254,6,6.65,3.37,1.0,1.17,0.17,1.3399999999999999,0.5914634146341465,0.07
CWE-538,6,4.93,2.72,1.0,2.0,0.0,2.0,0.38211382113821146,0.05
CWE-123,6,7.43,1.47,1.0,2.0,0.33,2.33,0.6869918699186992,0.08
CWE-399,6,6.6,2.82,1.17,1.33,0.0,1.33,0.5853658536585368,0.07
CWE-749,6,7.0,3.0,1.0,1.67,0.0,1.67,0.6341463414634148,0.08
CWE-436,6,7.53,2.9,1.0,1.5,0.17,1.67,0.6991869918699188,0.09
CWE-332,5,7.98,3.9,1.0,1.0,0.0,1.0,0.7536585365853659,0.07
CWE-189,5,6.84,2.7,1.2,1.4,0.2,1.5999999999999999,0.6146341463414636,0.06
CWE-172,5,5.66,2.68,1.0,1.2,0.6,1.7999999999999998,0.47073170731707326,0.05
CWE-672,5,6.88,1.92,1.0,1.8,0.2,2.0,0.6195121951219513,0.06
CWE-670,5,7.36,3.24,1.0,1.0,0.6,1.6,0.6780487804878049,0.07
CWE-273,5,7.38,2.2,1.0,2.0,0.0,2.0,0.6804878048780488,0.07
CWE-131,5,7.12,3.48,1.0,1.2,0.0,1.2,0.6487804878048782,0.06
CWE-913,4,6.62,2.65,1.25,1.0,0.25,1.25,0.5884146341463415,0.04
CWE-662,4,8.0,3.05,1.0,1.5,0.0,1.5,0.7560975609756099,0.06
CWE-184,4,8.73,2.8,1.25,1.5,0.0,1.5,0.8445121951219515,0.06
CWE-441,4,6.08,2.12,1.5,1.75,0.0,1.75,0.5213414634146343,0.04
CWE-924,4,6.98,2.35,1.5,1.0,0.5,1.5,0.6310975609756098,0.05
CWE-212,3,7.4,2.2,1.67,1.67,0.0,1.67,0.6829268292682927,0.03
CWE-16,3,7.7,2.5,1.0,1.67,0.0,1.67,0.7195121951219513,0.04
CWE-275,3,8.13,2.13,1.0,1.67,0.33,2.0,0.7723577235772358,0.04
CWE-838,3,8.13,2.43,1.33,1.33,0.33,1.6600000000000001,0.772357723577236,0.04
CWE-335,3,7.7,2.77,1.67,1.0,0.0,1.0,0.7195121951219513,0.04
CWE-178,2,7.55,2.85,1.0,1.5,0.0,1.5,0.7012195121951221,0.02
CWE-99,2,7.85,2.75,1.5,1.0,0.5,1.5,0.7378048780487806,0.02
CWE-21,2,6.4,3.9,1.0,1.0,0.0,1.0,0.5609756097560977,0.01
CWE-407,2,7.0,3.35,1.0,1.5,0.0,1.5,0.6341463414634148,0.02
CWE-118,2,6.65,1.8,1.0,1.5,0.5,2.0,0.5914634146341464,0.01
CWE-90,2,4.6,2.0,1.0,2.5,0.0,2.5,0.34146341463414637,0.01
CWE-707,2,7.5,3.9,1.0,1.0,0.0,1.0,0.6951219512195123,0.02
CWE-122,1,8.8,2.8,1.0,1.0,0.0,1.0,0.8536585365853661,0.0
CWE-664,1,8.8,2.8,1.0,1.0,1.0,2.0,0.8536585365853661,0.0
CWE-73,1,9.8,3.9,1.0,1.0,0.0,1.0,0.9756097560975611,0.0
CWE-697,1,7.5,3.9,1.0,1.0,0.0,1.0,0.6951219512195123,0.0
CWE-371,1,7.5,3.9,1.0,1.0,0.0,1.0,0.6951219512195123,0.0
CWE-23,1,6.5,2.8,1.0,2.0,0.0,2.0,0.5731707317073171,0.0
CWE-80,1,5.4,2.3,1.0,2.0,1.0,3.0,0.43902439024390255,0.0
CWE-216,1,7.8,1.8,1.0,2.0,0.0,2.0,0.7317073170731708,0.0
CWE-471,1,8.8,2.8,1.0,2.0,0.0,2.0,0.8536585365853661,0.0
CWE-774,1,7.5,3.9,1.0,1.0,0.0,1.0,0.6951219512195123,0.0
CWE-943,1,8.8,2.8,1.0,2.0,0.0,2.0,0.8536585365853661,0.0
CWE-300,1,7.4,1.5,1.0,2.0,1.0,3.0,0.6829268292682928,0.0
CWE-117,1,7.8,1.8,1.0,2.0,0.0,2.0,0.7317073170731708,0.0
CWE-297,1,8.1,2.2,2.0,1.0,0.0,1.0,0.7682926829268293,0.0
CWE-405,1,7.5,3.9,1.0,1.0,0.0,1.0,0.6951219512195123,0.0
CWE-256,1,7.5,3.9,1.0,1.0,0.0,1.0,0.6951219512195123,0.0
CWE-321,1,7.5,3.9,1.0,1.0,0.0,1.0,0.6951219512195123,0.0
CWE-121,1,8.8,2.8,1.0,1.0,0.0,1.0,0.8536585365853661,0.0
CWE-642,1,8.6,3.9,1.0,1.0,0.0,1.0,0.8292682926829269,0.0
CWE-18,1,9.8,3.9,1.0,1.0,0.0,1.0,0.9756097560975611,0.0
