CWE,NVD_count,Avg_CVSS_V3,min_CVSS_V3,max_CVSS_V3,avg_CVSS_V3_severity,avg_CVSS_V3_exploitability,Sv_cwe,CWE_score
CWE-863,178,7.089887640449438,1.8,10.0,2.640449438202247,2.658426966292135,0.6451082488352975,2.81658016881716
CWE-601,177,6.120338983050848,1.8,10.0,2.056497175141243,2.774576271186441,0.5268706076891279,2.287351429533461
CWE-78,778,8.532647814910025,1.8,10.0,3.2146529562982007,2.5984575835475576,0.8210546115743933,15.73654250600157
CWE-611,285,7.870877192982456,1.8,10.0,3.0701754385964914,3.1564912280701756,0.7403508771929825,5.186473831346991
CWE-415,119,8.052941176470584,1.8,10.0,3.042016806722689,2.573949579831932,0.762553802008608,2.2195695273067524
CWE-425,34,7.158823529411766,1.8,10.0,2.764705882352941,3.4676470588235295,0.6535150645624106,0.5319683554652084
CWE-552,14,6.535714285714286,1.8,10.0,2.5,2.6785714285714284,0.5775261324041813,0.1851958490689284
CWE-352,877,8.073774230330672,1.8,10.0,2.7639680729760547,2.765108323831243,0.7650944183330088,16.532380623081295
CWE-347,82,7.085365853658536,1.8,10.0,2.597560975609756,2.6939024390243897,0.6445568114217728,1.2878416804431079
CWE-89,911,8.976399560922061,1.8,10.0,3.522502744237102,3.31251372118551,0.8751706781612271,19.644926421477965
CWE-22,801,7.2677902621722845,1.8,10.0,2.7752808988764044,3.2038701622971284,0.6668036905088153,13.158434938506469
CWE-320,24,6.9750000000000005,1.8,10.0,2.75,2.829166666666667,0.6310975609756099,0.3580474568929212
CWE-306,206,8.088349514563106,1.8,10.0,3.1893203883495147,3.6067961165048534,0.766871892019891,3.877867238877101
CWE-1188,46,8.610869565217394,1.8,10.0,3.347826086956522,3.010869565217392,0.8305938494167554,0.9219714658054758
CWE-326,83,7.2638554216867455,1.8,10.0,2.8313253012048194,3.208433734939758,0.6663238319130178,1.3477689742690544
CWE-203,38,6.052631578947369,1.8,10.0,2.263157894736842,2.5315789473684216,0.5186136071887036,0.47332766319639946
NVD-CWE-Other,186,7.18010752688172,1.8,10.0,2.682795698924731,2.894623655913978,0.6561106740099659,2.9940916302872154
CWE-693,27,6.9222222222222225,1.8,10.0,2.5925925925925926,3.0814814814814815,0.6246612466124662,0.4006214211130766
CWE-502,225,8.961777777777776,1.8,10.0,3.52,3.286666666666666,0.8733875338753386,4.825821598127179
CWE-613,37,7.386486486486487,1.8,10.0,2.7027027027027026,2.3459459459459464,0.6812788398154254,0.6049836762051137
CWE-755,72,7.104166666666667,1.8,10.0,2.6805555555555554,3.044444444444444,0.6468495934959351,1.1328643596006756
CWE-772,127,6.695275590551181,1.8,10.0,2.4173228346456694,3.0196850393700783,0.5969848281159977,1.8554535851656566
CWE-787,2013,8.277198211624441,1.8,10.0,3.118231495280676,2.569796323894684,0.78990222092981,39.20284332784355
CWE-134,37,7.643243243243243,1.8,10.0,2.945945945945946,2.9810810810810815,0.7125906394199079,0.6327889249905447
CWE-125,1602,7.134144818976278,1.8,10.0,2.6416978776529336,2.851373283395755,0.6505054657288145,25.689670711194672
CWE-521,38,8.3,1.8,10.0,3.289473684210526,3.4000000000000004,0.7926829268292684,0.7234649307519224
CWE-295,185,7.177837837837837,1.8,10.0,2.7405405405405405,2.7037837837837833,0.6558338826631509,2.9766510707947647
CWE-667,15,6.7,1.8,10.0,2.466666666666667,2.2333333333333334,0.5975609756097562,0.20636047505023647
CWE-384,89,7.140449438202247,1.8,10.0,2.640449438202247,2.7134831460674156,0.6512743217319814,1.4137183106170292
CWE-706,11,7.027272727272727,1.8,10.0,2.8181818181818183,2.8727272727272726,0.6374722838137473,0.15724525994419025
CWE-434,349,8.49083094555874,1.8,10.0,3.2607449856733526,2.902578796561605,0.815954993360822,7.004251053023336
CWE-358,7,8.142857142857142,1.8,10.0,3.142857142857143,3.3285714285714287,0.7735191637630662,0.11448236266843603
CWE-319,112,7.163392857142857,1.8,10.0,2.6964285714285716,3.1008928571428567,0.654072299651568,1.7908738347637898
CWE-74,120,7.155833333333333,1.8,10.0,2.6666666666666665,2.7849999999999993,0.6531504065040651,1.917239723087907
CWE-522,306,7.87843137254902,1.8,10.0,2.996732026143791,2.765359477124183,0.7412721186035391,5.57691159778193
CWE-88,49,7.6938775510204085,1.8,10.0,2.7755102040816326,2.295918367346939,0.718765555002489,0.8510297641864694
