,CWE,CVE,CVSS_V3_baseScore,CVSS_V3_exploitabilityScore,CVSS_V3_attackComplexity,CVSS_V3_privilegesRequired,CVSS_V3_userInteraction
57,CWE-79,CVE-2018-0059,5.4,2.3,LOW,LOW,REQUIRED
58,CWE-20,CVE-2018-0060,5.9,2.2,HIGH,NONE,NONE
59,CWE-400,CVE-2018-0061,5.3,3.9,LOW,NONE,NONE
60,CWE-20,CVE-2018-0062,7.5,3.9,LOW,NONE,NONE
61,CWE-400,CVE-2018-0063,6.5,2.8,LOW,NONE,NONE
62,CWE-400,CVE-2018-0086,8.6,3.9,LOW,NONE,NONE
63,CWE-287,CVE-2018-0087,5.6,2.2,HIGH,NONE,NONE
64,CWE-732,CVE-2018-0088,6.7,0.8,LOW,HIGH,NONE
65,CWE-732,CVE-2018-0089,7.5,3.9,LOW,NONE,NONE
66,CWE-312,CVE-2018-0089,7.5,3.9,LOW,NONE,NONE
67,CWE-400,CVE-2018-0090,7.5,3.9,LOW,NONE,NONE
68,CWE-79,CVE-2018-0091,6.1,2.8,LOW,NONE,REQUIRED
69,CWE-862,CVE-2018-0092,7.1,1.8,LOW,LOW,NONE
70,CWE-79,CVE-2018-0093,6.1,2.8,LOW,NONE,REQUIRED
71,CWE-400,CVE-2018-0094,7.5,3.9,LOW,NONE,NONE
72,NVD-CWE-noinfo,CVE-2018-0095,7.8,1.8,LOW,LOW,NONE
73,CWE-863,CVE-2018-0096,5.9,0.7,HIGH,HIGH,NONE
74,CWE-601,CVE-2018-0097,6.1,2.8,LOW,NONE,REQUIRED
75,CWE-79,CVE-2018-0098,6.1,2.8,LOW,NONE,REQUIRED
76,CWE-78,CVE-2018-0099,8.8,2.8,LOW,LOW,NONE
77,CWE-611,CVE-2018-0100,4.4,1.8,LOW,LOW,NONE
78,CWE-415,CVE-2018-0101,10.0,3.9,LOW,NONE,NONE
79,CWE-415,CVE-2018-0102,7.4,2.8,LOW,NONE,NONE
80,CWE-119,CVE-2018-0103,7.8,1.8,LOW,NONE,REQUIRED
81,CWE-20,CVE-2018-0104,9.6,2.8,LOW,NONE,REQUIRED
82,CWE-425,CVE-2018-0105,5.3,3.9,LOW,NONE,NONE
83,CWE-552,CVE-2018-0106,3.3,1.8,LOW,LOW,NONE
84,CWE-352,CVE-2018-0107,8.8,2.8,LOW,NONE,REQUIRED
85,CWE-611,CVE-2018-0108,5.3,3.9,LOW,NONE,NONE
86,CWE-200,CVE-2018-0109,2.7,1.2,LOW,HIGH,NONE
87,CWE-863,CVE-2018-0110,8.1,2.8,LOW,LOW,NONE
88,CWE-200,CVE-2018-0111,5.3,3.9,LOW,NONE,NONE
89,CWE-20,CVE-2018-0112,9.0,2.3,LOW,LOW,REQUIRED
90,CWE-20,CVE-2018-0113,8.8,2.8,LOW,LOW,NONE
91,CWE-347,CVE-2018-0114,7.5,3.9,LOW,NONE,NONE
92,CWE-78,CVE-2018-0115,6.7,0.8,LOW,HIGH,NONE
93,CWE-287,CVE-2018-0116,7.2,3.9,LOW,NONE,NONE
94,CWE-20,CVE-2018-0117,8.6,3.9,LOW,NONE,NONE
95,CWE-79,CVE-2018-0118,6.1,2.8,LOW,NONE,REQUIRED
96,NVD-CWE-noinfo,CVE-2018-0119,4.7,1.2,LOW,HIGH,NONE
97,CWE-89,CVE-2018-0120,4.3,2.8,LOW,LOW,NONE
98,CWE-287,CVE-2018-0121,9.8,3.9,LOW,NONE,NONE
99,CWE-78,CVE-2018-0122,4.4,0.8,LOW,HIGH,NONE
100,CWE-22,CVE-2018-0123,5.5,1.8,LOW,LOW,NONE
101,CWE-320,CVE-2018-0124,9.8,3.9,LOW,NONE,NONE
102,CWE-20,CVE-2018-0125,9.8,3.9,LOW,NONE,NONE
103,CWE-306,CVE-2018-0127,9.8,3.9,LOW,NONE,NONE
104,CWE-79,CVE-2018-0128,6.1,2.8,LOW,NONE,REQUIRED
105,CWE-79,CVE-2018-0129,6.1,2.8,LOW,NONE,REQUIRED
106,CWE-1188,CVE-2018-0130,9.8,3.9,LOW,NONE,NONE
107,CWE-326,CVE-2018-0131,5.9,2.2,HIGH,NONE,NONE
108,CWE-119,CVE-2018-0132,8.6,3.9,LOW,NONE,NONE
109,CWE-203,CVE-2018-0134,5.3,3.9,LOW,NONE,NONE
110,CWE-20,CVE-2018-0135,4.3,2.8,LOW,LOW,NONE
111,NVD-CWE-Other,CVE-2018-0136,8.6,3.9,LOW,NONE,NONE
112,CWE-770,CVE-2018-0137,8.6,3.9,LOW,NONE,NONE
113,CWE-693,CVE-2018-0138,5.3,3.9,LOW,NONE,NONE
114,NVD-CWE-Other,CVE-2018-0139,8.6,3.9,LOW,NONE,NONE
115,CWE-425,CVE-2018-0140,6.5,2.8,LOW,LOW,NONE
116,CWE-798,CVE-2018-0141,8.4,2.5,LOW,NONE,NONE
117,CWE-79,CVE-2018-0144,6.1,2.8,LOW,NONE,REQUIRED
118,CWE-79,CVE-2018-0145,6.1,2.8,LOW,NONE,REQUIRED
119,CWE-352,CVE-2018-0146,5.4,2.8,LOW,NONE,REQUIRED
120,CWE-502,CVE-2018-0147,9.8,3.9,LOW,NONE,NONE
121,CWE-352,CVE-2018-0148,8.8,2.8,LOW,NONE,REQUIRED
122,CWE-79,CVE-2018-0149,4.8,1.7,LOW,HIGH,REQUIRED
123,CWE-798,CVE-2018-0150,9.8,3.9,LOW,NONE,NONE
124,CWE-119,CVE-2018-0151,9.8,3.9,LOW,NONE,NONE
125,CWE-613,CVE-2018-0152,8.8,2.8,LOW,LOW,NONE
126,NVD-CWE-noinfo,CVE-2018-0154,7.5,3.9,LOW,NONE,NONE
127,CWE-755,CVE-2018-0155,8.6,3.9,LOW,NONE,NONE
128,CWE-20,CVE-2018-0156,7.5,3.9,LOW,NONE,NONE
129,NVD-CWE-noinfo,CVE-2018-0157,8.6,3.9,LOW,NONE,NONE
130,CWE-772,CVE-2018-0158,8.6,3.9,LOW,NONE,NONE
131,CWE-20,CVE-2018-0159,7.5,3.9,LOW,NONE,NONE
132,CWE-415,CVE-2018-0160,6.3,1.8,HIGH,LOW,NONE
133,NVD-CWE-noinfo,CVE-2018-0161,6.3,1.8,HIGH,LOW,NONE
134,CWE-287,CVE-2018-0163,6.5,2.8,LOW,NONE,NONE
135,NVD-CWE-noinfo,CVE-2018-0164,8.6,3.9,LOW,NONE,NONE
136,CWE-772,CVE-2018-0165,7.4,2.8,LOW,NONE,NONE
137,CWE-119,CVE-2018-0167,8.8,2.8,LOW,NONE,NONE
138,CWE-78,CVE-2018-0169,7.8,1.8,LOW,LOW,NONE
139,CWE-416,CVE-2018-0170,7.5,3.9,LOW,NONE,NONE
140,CWE-787,CVE-2018-0171,9.8,3.9,LOW,NONE,NONE
141,CWE-787,CVE-2018-0172,8.6,3.9,LOW,NONE,NONE
142,CWE-20,CVE-2018-0173,8.6,3.9,LOW,NONE,NONE
143,CWE-20,CVE-2018-0174,8.6,3.9,LOW,NONE,NONE
144,CWE-134,CVE-2018-0175,8.0,2.1,LOW,NONE,REQUIRED
145,CWE-78,CVE-2018-0176,7.8,1.8,LOW,LOW,NONE
146,NVD-CWE-noinfo,CVE-2018-0177,7.5,3.9,LOW,NONE,NONE
147,NVD-CWE-noinfo,CVE-2018-0179,5.9,2.2,HIGH,NONE,NONE
148,NVD-CWE-noinfo,CVE-2018-0180,5.9,2.2,HIGH,NONE,NONE
149,CWE-306,CVE-2018-0181,9.8,3.9,LOW,NONE,NONE
150,CWE-78,CVE-2018-0182,7.8,1.8,LOW,LOW,NONE
151,CWE-78,CVE-2018-0183,6.7,0.8,LOW,HIGH,NONE
152,CWE-78,CVE-2018-0184,6.7,0.8,LOW,HIGH,NONE
153,CWE-78,CVE-2018-0185,7.8,1.8,LOW,LOW,NONE
154,CWE-79,CVE-2018-0186,6.1,2.8,LOW,NONE,REQUIRED
155,CWE-200,CVE-2018-0187,6.5,2.8,LOW,LOW,NONE
156,CWE-79,CVE-2018-0188,6.1,2.8,LOW,NONE,REQUIRED
157,NVD-CWE-noinfo,CVE-2018-0189,5.3,1.6,HIGH,LOW,NONE
158,CWE-79,CVE-2018-0190,6.1,2.8,LOW,NONE,REQUIRED
159,CWE-78,CVE-2018-0193,7.8,1.8,LOW,LOW,NONE
160,CWE-78,CVE-2018-0194,7.8,1.8,LOW,LOW,NONE
161,CWE-287,CVE-2018-0195,8.8,2.8,LOW,LOW,NONE
162,NVD-CWE-Other,CVE-2018-0196,4.9,1.2,LOW,HIGH,NONE
163,CWE-20,CVE-2018-0197,6.5,2.8,LOW,NONE,NONE
164,CWE-425,CVE-2018-0198,5.3,3.9,LOW,NONE,NONE
165,CWE-79,CVE-2018-0199,6.1,2.8,LOW,NONE,REQUIRED
166,CWE-79,CVE-2018-0200,6.1,2.8,LOW,NONE,REQUIRED
167,CWE-79,CVE-2018-0201,5.4,2.3,LOW,LOW,REQUIRED
168,CWE-125,CVE-2018-0202,5.5,1.8,LOW,NONE,REQUIRED
169,NVD-CWE-noinfo,CVE-2018-0203,5.3,3.9,LOW,NONE,NONE
170,CWE-521,CVE-2018-0204,7.5,3.9,LOW,NONE,NONE
171,CWE-79,CVE-2018-0205,6.1,2.8,LOW,NONE,REQUIRED
172,CWE-79,CVE-2018-0206,6.1,2.8,LOW,NONE,REQUIRED
173,CWE-611,CVE-2018-0207,3.3,1.8,LOW,NONE,REQUIRED
174,CWE-79,CVE-2018-0208,5.4,2.3,LOW,LOW,REQUIRED
175,NVD-CWE-Other,CVE-2018-0209,7.7,3.1,LOW,LOW,NONE
176,CWE-352,CVE-2018-0210,8.8,2.8,LOW,NONE,REQUIRED
177,CWE-20,CVE-2018-0211,4.4,0.8,LOW,HIGH,NONE
178,CWE-79,CVE-2018-0212,6.1,2.8,LOW,NONE,REQUIRED
179,CWE-20,CVE-2018-0213,8.8,2.8,LOW,LOW,NONE
180,CWE-78,CVE-2018-0214,5.3,1.8,LOW,LOW,NONE
181,CWE-352,CVE-2018-0215,6.3,2.8,LOW,NONE,REQUIRED
182,CWE-352,CVE-2018-0216,5.4,2.8,LOW,NONE,REQUIRED
183,CWE-78,CVE-2018-0217,6.7,0.8,LOW,HIGH,NONE
184,CWE-611,CVE-2018-0218,3.3,1.8,LOW,NONE,REQUIRED
185,CWE-79,CVE-2018-0219,6.1,2.8,LOW,NONE,REQUIRED
186,CWE-79,CVE-2018-0220,5.4,2.3,LOW,LOW,REQUIRED
187,CWE-78,CVE-2018-0221,6.7,0.8,LOW,HIGH,NONE
188,CWE-798,CVE-2018-0222,10.0,3.9,LOW,NONE,NONE
189,CWE-79,CVE-2018-0223,6.1,2.8,LOW,NONE,REQUIRED
190,CWE-78,CVE-2018-0224,6.7,0.8,LOW,HIGH,NONE
191,CWE-89,CVE-2018-0225,9.8,3.9,LOW,NONE,NONE
192,NVD-CWE-noinfo,CVE-2018-0226,7.5,1.6,HIGH,LOW,NONE
193,CWE-295,CVE-2018-0227,7.5,3.9,LOW,NONE,NONE
194,CWE-667,CVE-2018-0228,8.6,3.9,LOW,NONE,NONE
195,CWE-384,CVE-2018-0229,6.5,2.8,LOW,NONE,REQUIRED
196,CWE-400,CVE-2018-0230,8.6,3.9,LOW,NONE,NONE
197,CWE-787,CVE-2018-0231,8.6,3.9,LOW,NONE,NONE
198,CWE-400,CVE-2018-0233,8.6,3.9,LOW,NONE,NONE
199,CWE-20,CVE-2018-0234,8.6,3.9,LOW,NONE,NONE
200,NVD-CWE-Other,CVE-2018-0235,7.4,2.8,LOW,NONE,NONE
201,CWE-706,CVE-2018-0237,5.8,3.9,LOW,NONE,NONE
202,CWE-287,CVE-2018-0238,9.9,3.1,LOW,LOW,NONE
203,CWE-770,CVE-2018-0239,7.5,3.9,LOW,NONE,NONE
204,NVD-CWE-noinfo,CVE-2018-0240,8.6,3.9,LOW,NONE,NONE
205,NVD-CWE-noinfo,CVE-2018-0241,7.4,2.8,LOW,NONE,NONE
206,CWE-79,CVE-2018-0242,6.1,2.8,LOW,NONE,REQUIRED
207,CWE-693,CVE-2018-0243,5.8,3.9,LOW,NONE,NONE
208,CWE-693,CVE-2018-0244,5.8,3.9,LOW,NONE,NONE
209,CWE-269,CVE-2018-0245,5.3,3.9,LOW,NONE,NONE
210,CWE-287,CVE-2018-0247,4.7,2.8,LOW,NONE,NONE
211,CWE-20,CVE-2018-0248,4.9,1.2,LOW,HIGH,NONE
212,NVD-CWE-Other,CVE-2018-0249,4.3,2.8,LOW,NONE,NONE
213,CWE-693,CVE-2018-0250,4.1,2.3,LOW,LOW,NONE
214,CWE-79,CVE-2018-0251,6.1,2.8,LOW,NONE,REQUIRED
215,CWE-119,CVE-2018-0252,8.6,3.9,LOW,NONE,NONE
216,CWE-20,CVE-2018-0253,9.8,3.9,LOW,NONE,NONE
217,CWE-693,CVE-2018-0254,5.3,3.9,LOW,NONE,NONE
218,CWE-352,CVE-2018-0255,8.8,2.8,LOW,NONE,REQUIRED
219,CWE-20,CVE-2018-0256,5.8,3.9,LOW,NONE,NONE
220,NVD-CWE-noinfo,CVE-2018-0257,4.3,2.8,LOW,NONE,NONE
221,CWE-434,CVE-2018-0258,9.8,3.9,LOW,NONE,NONE
222,CWE-22,CVE-2018-0258,9.8,3.9,LOW,NONE,NONE
223,CWE-352,CVE-2018-0259,8.8,2.8,LOW,NONE,REQUIRED
224,CWE-20,CVE-2018-0260,5.3,3.9,LOW,NONE,NONE
225,NVD-CWE-noinfo,CVE-2018-0262,8.1,2.2,HIGH,NONE,NONE
226,CWE-1188,CVE-2018-0263,7.4,2.8,LOW,NONE,NONE
227,CWE-20,CVE-2018-0264,9.6,2.8,LOW,NONE,REQUIRED
228,CWE-425,CVE-2018-0266,4.3,2.8,LOW,LOW,NONE
229,CWE-425,CVE-2018-0267,6.5,2.0,LOW,LOW,NONE
230,CWE-358,CVE-2018-0268,10.0,3.9,LOW,NONE,NONE
231,CWE-863,CVE-2018-0269,4.3,2.8,LOW,NONE,REQUIRED
232,CWE-352,CVE-2018-0270,8.8,2.8,LOW,NONE,REQUIRED
233,CWE-287,CVE-2018-0271,9.8,3.9,LOW,NONE,NONE
234,CWE-755,CVE-2018-0272,5.9,2.2,HIGH,NONE,NONE
235,NVD-CWE-noinfo,CVE-2018-0273,5.3,3.9,LOW,NONE,NONE
236,CWE-78,CVE-2018-0274,8.8,2.8,LOW,LOW,NONE
237,NVD-CWE-noinfo,CVE-2018-0275,6.7,0.8,LOW,HIGH,NONE
238,CWE-79,CVE-2018-0276,6.1,2.8,LOW,NONE,REQUIRED
239,CWE-295,CVE-2018-0277,8.6,3.9,LOW,NONE,NONE
240,CWE-863,CVE-2018-0278,6.5,2.8,LOW,NONE,REQUIRED
241,CWE-78,CVE-2018-0279,8.8,2.8,LOW,LOW,NONE
242,CWE-20,CVE-2018-0280,7.5,3.9,LOW,NONE,NONE
243,CWE-319,CVE-2018-0281,5.8,3.9,LOW,NONE,NONE
244,NVD-CWE-noinfo,CVE-2018-0282,6.8,2.2,HIGH,NONE,NONE
245,CWE-319,CVE-2018-0283,5.8,3.9,LOW,NONE,NONE
246,NVD-CWE-noinfo,CVE-2018-0284,6.5,2.8,LOW,LOW,NONE
247,CWE-400,CVE-2018-0285,6.5,2.8,LOW,LOW,NONE
248,CWE-755,CVE-2018-0286,5.3,3.9,LOW,NONE,NONE
249,CWE-20,CVE-2018-0287,8.8,2.8,LOW,NONE,REQUIRED
250,CWE-200,CVE-2018-0288,5.3,3.9,LOW,NONE,NONE
251,CWE-79,CVE-2018-0289,6.1,2.8,LOW,NONE,REQUIRED
252,NVD-CWE-noinfo,CVE-2018-0290,5.3,3.9,LOW,NONE,NONE
253,CWE-20,CVE-2018-0291,6.5,2.8,LOW,LOW,NONE
254,CWE-119,CVE-2018-0292,8.8,2.8,LOW,NONE,NONE
255,CWE-78,CVE-2018-0293,8.8,2.8,LOW,LOW,NONE
256,NVD-CWE-noinfo,CVE-2018-0294,6.7,0.8,LOW,HIGH,NONE
257,CWE-20,CVE-2018-0295,7.5,3.9,LOW,NONE,NONE
258,CWE-22,CVE-2018-0296,7.5,3.9,LOW,NONE,NONE
259,CWE-693,CVE-2018-0297,5.8,3.9,LOW,NONE,NONE
260,CWE-119,CVE-2018-0298,7.5,3.9,LOW,NONE,NONE
261,CWE-20,CVE-2018-0299,6.5,2.8,LOW,LOW,NONE
262,CWE-22,CVE-2018-0300,7.2,1.2,LOW,HIGH,NONE
263,CWE-119,CVE-2018-0301,9.8,3.9,LOW,NONE,NONE
264,CWE-119,CVE-2018-0302,7.8,1.8,LOW,LOW,NONE
265,CWE-119,CVE-2018-0303,8.8,2.8,LOW,NONE,NONE
266,CWE-125,CVE-2018-0304,9.8,3.9,LOW,NONE,NONE
267,CWE-476,CVE-2018-0305,8.6,3.9,LOW,NONE,NONE
268,CWE-78,CVE-2018-0306,7.8,1.8,LOW,LOW,NONE
269,CWE-78,CVE-2018-0307,7.8,1.8,LOW,LOW,NONE
270,CWE-119,CVE-2018-0308,9.8,3.9,LOW,NONE,NONE
271,CWE-400,CVE-2018-0309,7.7,3.1,LOW,LOW,NONE
272,CWE-125,CVE-2018-0310,9.8,3.9,LOW,NONE,NONE
273,CWE-119,CVE-2018-0311,7.5,3.9,LOW,NONE,NONE
274,CWE-119,CVE-2018-0312,9.8,3.9,LOW,NONE,NONE
275,CWE-74,CVE-2018-0313,8.8,2.8,LOW,LOW,NONE
276,CWE-119,CVE-2018-0314,9.8,3.9,LOW,NONE,NONE
277,CWE-119,CVE-2018-0315,9.8,3.9,LOW,NONE,NONE
278,CWE-755,CVE-2018-0316,7.5,3.9,LOW,NONE,NONE
279,CWE-862,CVE-2018-0317,8.8,2.8,LOW,LOW,NONE
280,CWE-287,CVE-2018-0318,9.8,3.9,LOW,NONE,NONE
281,CWE-287,CVE-2018-0319,9.8,3.9,LOW,NONE,NONE
282,CWE-89,CVE-2018-0320,9.8,3.9,LOW,NONE,NONE
283,CWE-287,CVE-2018-0321,9.8,3.9,LOW,NONE,NONE
284,CWE-862,CVE-2018-0322,8.8,2.8,LOW,LOW,NONE
285,CWE-22,CVE-2018-0323,6.5,2.8,LOW,LOW,NONE
286,CWE-78,CVE-2018-0324,6.7,0.8,LOW,HIGH,NONE
287,CWE-20,CVE-2018-0325,7.5,3.9,LOW,NONE,NONE
288,CWE-693,CVE-2018-0326,6.1,2.8,LOW,NONE,REQUIRED
289,CWE-79,CVE-2018-0327,6.1,2.8,LOW,NONE,REQUIRED
290,CWE-79,CVE-2018-0328,6.1,2.8,LOW,NONE,REQUIRED
291,CWE-798,CVE-2018-0329,5.3,3.9,LOW,NONE,NONE
292,CWE-78,CVE-2018-0330,8.8,2.8,LOW,LOW,NONE
293,CWE-20,CVE-2018-0331,6.5,2.8,LOW,NONE,NONE
294,NVD-CWE-noinfo,CVE-2018-0332,7.5,3.9,LOW,NONE,NONE
295,CWE-693,CVE-2018-0333,5.8,3.9,LOW,NONE,NONE
296,CWE-295,CVE-2018-0334,4.8,2.2,HIGH,NONE,NONE
297,CWE-522,CVE-2018-0335,7.8,1.8,LOW,LOW,NONE
298,CWE-532,CVE-2018-0335,7.8,1.8,LOW,LOW,NONE
299,CWE-862,CVE-2018-0336,8.8,2.8,LOW,LOW,NONE
300,CWE-863,CVE-2018-0337,7.8,1.8,LOW,LOW,NONE
301,CWE-863,CVE-2018-0338,7.8,1.8,LOW,LOW,NONE
302,CWE-79,CVE-2018-0339,6.1,2.8,LOW,NONE,REQUIRED
303,CWE-79,CVE-2018-0340,5.4,2.3,LOW,LOW,REQUIRED
304,CWE-78,CVE-2018-0341,8.8,2.8,LOW,LOW,NONE
305,CWE-119,CVE-2018-0342,6.7,0.8,LOW,HIGH,NONE
306,CWE-269,CVE-2018-0343,8.8,2.8,LOW,LOW,NONE
307,CWE-77,CVE-2018-0344,7.2,1.2,LOW,HIGH,NONE
308,CWE-88,CVE-2018-0345,8.8,2.8,LOW,LOW,NONE
309,CWE-119,CVE-2018-0346,7.5,3.9,LOW,NONE,NONE
310,CWE-77,CVE-2018-0347,7.8,1.8,LOW,LOW,NONE
311,CWE-78,CVE-2018-0348,7.2,1.2,LOW,HIGH,NONE
312,CWE-78,CVE-2018-0349,9.8,3.9,LOW,NONE,NONE
313,CWE-77,CVE-2018-0350,8.8,2.8,LOW,LOW,NONE
314,CWE-77,CVE-2018-0351,7.8,1.8,LOW,LOW,NONE
315,CWE-732,CVE-2018-0352,6.7,0.8,LOW,HIGH,NONE
316,NVD-CWE-noinfo,CVE-2018-0353,7.5,3.9,LOW,NONE,NONE
317,CWE-79,CVE-2018-0354,6.1,2.8,LOW,NONE,REQUIRED
318,CWE-1021,CVE-2018-0355,6.1,2.8,LOW,NONE,REQUIRED
319,CWE-79,CVE-2018-0356,6.1,2.8,LOW,NONE,REQUIRED
320,CWE-79,CVE-2018-0357,6.1,2.8,LOW,NONE,REQUIRED
321,CWE-770,CVE-2018-0358,7.5,3.9,LOW,NONE,NONE
322,CWE-384,CVE-2018-0359,5.5,1.8,LOW,LOW,NONE
323,CWE-190,CVE-2018-0360,5.5,1.8,LOW,NONE,REQUIRED
324,CWE-20,CVE-2018-0361,3.3,1.8,LOW,NONE,REQUIRED
325,CWE-287,CVE-2018-0362,4.3,0.9,LOW,NONE,NONE
326,CWE-352,CVE-2018-0363,8.8,2.8,LOW,NONE,REQUIRED
327,CWE-352,CVE-2018-0364,8.8,2.8,LOW,NONE,REQUIRED
328,CWE-352,CVE-2018-0365,8.8,2.8,LOW,NONE,REQUIRED
329,CWE-79,CVE-2018-0366,6.1,2.8,LOW,NONE,REQUIRED
330,CWE-79,CVE-2018-0367,5.4,2.3,LOW,LOW,REQUIRED
331,NVD-CWE-noinfo,CVE-2018-0368,7.8,1.8,LOW,LOW,NONE
332,CWE-20,CVE-2018-0369,8.6,3.9,LOW,NONE,NONE
333,NVD-CWE-noinfo,CVE-2018-0370,7.5,3.9,LOW,NONE,NONE
334,CWE-20,CVE-2018-0371,6.5,2.8,LOW,LOW,NONE
335,CWE-400,CVE-2018-0372,7.5,3.9,LOW,NONE,NONE
336,CWE-20,CVE-2018-0373,5.5,1.8,LOW,LOW,NONE
337,CWE-306,CVE-2018-0374,9.8,3.9,LOW,NONE,NONE
338,CWE-798,CVE-2018-0375,9.8,3.9,LOW,NONE,NONE
339,CWE-306,CVE-2018-0376,9.8,3.9,LOW,NONE,NONE
340,CWE-306,CVE-2018-0377,9.8,3.9,LOW,NONE,NONE
341,CWE-20,CVE-2018-0378,8.6,3.9,LOW,NONE,NONE
342,CWE-119,CVE-2018-0379,7.8,1.8,LOW,NONE,REQUIRED
343,NVD-CWE-noinfo,CVE-2018-0380,5.5,1.8,LOW,NONE,REQUIRED
344,CWE-667,CVE-2018-0381,6.8,2.3,LOW,LOW,NONE
345,CWE-287,CVE-2018-0382,7.5,3.9,LOW,NONE,NONE
346,CWE-693,CVE-2018-0383,8.6,3.9,LOW,NONE,NONE
347,CWE-693,CVE-2018-0384,5.8,3.9,LOW,NONE,NONE
348,CWE-20,CVE-2018-0385,7.5,3.9,LOW,NONE,NONE
